cds_code,pdf,json
01612340116301,DNE,DNE
01612340130054,DNE,E
01612340130484,DNE,E
01612340130682,DNE,DNE
01612340135418,DNE,DNE
01612340135426,DNE,E
01612340135442,DNE,DNE
01612346001440,DNE,E
01612346001457,DNE,DNE
01612346001465,DNE,DNE
01612346001473,DNE,DNE
01612346001481,DNE,E
01612346001499,DNE,E
01612346001507,DNE,E
01612346001515,DNE,DNE
01612346001523,DNE,E
01612346001531,DNE,E
01612346001549,DNE,DNE
01612346001556,DNE,DNE
01612346095897,DNE,DNE
01612346102917,DNE,E
01612346103444,DNE,DNE
01612346104970,DNE,DNE
01612346120752,DNE,DNE
01612420000000,DNE,DNE
01612420110460,DNE,E
01612420110478,DNE,E
01612420114629,DNE,DNE
01612420126763,DNE,E
01612420130278,DNE,DNE
01612420134635,DNE,DNE
01612420134668,DNE,E
01612420135475,DNE,DNE
01612420147256,DNE,DNE
01612420147264,DNE,DNE
01612420147272,DNE,DNE
01612420147280,DNE,DNE
01612420147298,DNE,DNE
01612420147306,DNE,DNE
01612420147314,DNE,DNE
01612426001572,DNE,E
01612426001580,DNE,DNE
01612426001598,DNE,DNE
01612426001606,DNE,E
01612426001614,DNE,DNE
01612426001622,DNE,E
01612426056980,DNE,DNE
01612426068266,DNE,E
01612426089346,DNE,DNE
01612426097679,DNE,E
01612426101604,DNE,E
01612426115505,DNE,E
01612426115554,DNE,E
01612426118525,DNE,E
01612590000000,DNE,DNE
01612590100065,DNE,E
01612590100123,DNE,DNE
01612590100693,DNE,DNE
01612590100701,DNE,E
01612590100719,DNE,DNE
01612590100792,DNE,E
01612590100826,DNE,DNE
01612590100834,DNE,DNE
01612590100842,DNE,DNE
01612590100859,DNE,DNE
01612590101063,DNE,DNE
01612590101469,DNE,DNE
01612590102954,DNE,DNE
01612590102962,DNE,DNE
01612590102970,DNE,DNE
01612590102988,DNE,E
01612590106468,DNE,DNE
01612590106542,DNE,DNE
01612590106559,DNE,DNE
01612590106906,DNE,E
01612590107169,DNE,DNE
01612590107276,DNE,DNE
01612590107417,DNE,DNE
01612590108803,DNE,DNE
01612590108852,DNE,DNE
01612590108944,DNE,E
01612590109819,DNE,E
01612590109983,DNE,DNE
01612590110163,DNE,DNE
01612590110171,DNE,DNE
01612590110189,DNE,E
01612590110239,DNE,E
01612590110247,DNE,E
01612590110254,DNE,E
01612590110262,DNE,DNE
01612590110361,DNE,DNE
01612590111476,DNE,E
01612590111823,DNE,DNE
01612590111856,DNE,E
01612590112474,DNE,DNE
01612590112482,DNE,DNE
01612590112755,DNE,DNE
01612590112763,DNE,E
01612590112771,DNE,DNE
01612590112789,DNE,E
01612590112797,DNE,E
01612590112805,DNE,DNE
01612590112813,DNE,E
01612590114363,DNE,E
01612590114454,DNE,DNE
01612590114868,DNE,E
01612590115014,DNE,E
01612590115204,DNE,E
01612590115238,DNE,E
01612590115386,DNE,DNE
01612590115576,DNE,DNE
01612590115584,DNE,E
01612590115592,DNE,E
01612590115600,DNE,E
01612590115618,DNE,E
01612590115626,DNE,E
01612590115634,DNE,DNE
01612590115667,DNE,E
01612590116137,DNE,DNE
01612590118224,DNE,E
01612590118653,DNE,E
01612590119859,DNE,E
01612590120188,DNE,DNE
01612590120626,DNE,DNE
01612590121210,DNE,DNE
01612590121228,DNE,E
01612590121376,DNE,E
01612590123026,DNE,DNE
01612590123711,DNE,DNE
01612590125161,DNE,E
01612590125716,DNE,E
01612590125856,DNE,DNE
01612590126748,DNE,E
01612590128413,DNE,E
01612590129635,DNE,E
01612590129932,E,E
01612590130070,DNE,DNE
01612590130088,DNE,DNE
01612590130112,DNE,DNE
01612590130146,DNE,E
01612590130153,DNE,DNE
01612590130161,DNE,DNE
01612590130179,DNE,E
01612590130187,DNE,DNE
01612590130203,DNE,DNE
01612590130237,DNE,DNE
01612590130245,DNE,DNE
01612590130328,DNE,DNE
01612590130336,DNE,DNE
01612590130344,DNE,DNE
01612590130377,DNE,DNE
01612590130385,DNE,DNE
01612590130468,DNE,DNE
01612590130518,DNE,DNE
01612590130526,DNE,DNE
01612590130542,DNE,DNE
01612590130575,DNE,E
01612590130591,DNE,DNE
01612590130617,DNE,DNE
01612590130633,DNE,E
01612590130658,DNE,DNE
01612590130666,DNE,E
01612590130674,DNE,DNE
01612590130732,DNE,E
01612590131672,DNE,DNE
01612590131896,DNE,DNE
01612590131946,DNE,DNE
01612590132043,DNE,DNE
01612590132092,DNE,DNE
01612590132514,DNE,E
01612590132555,DNE,DNE
01612590132688,DNE,E
01612590133132,DNE,DNE
01612590134015,DNE,E
01612590134437,DNE,DNE
01612590134791,DNE,DNE
