file,year,max_sqft
19647336017198.json,1965,
34674396034136.json,1965,
56725386110738.json,1965,
30664646115406.json,1965,
44697996049779.json,1965,
38684786041008.json,1965,
10622656006753.json,1965,
15737426009328.json,1965,
33670903334687.json,1965,
19647336016273.json,1965,
56739406106439.json,1965,
19647336019186.json,1965,
19647250115535.json,1965,
04615310110338.json,1965,
41689166043822.json,1965,
31750850108084.json,1965,
12768026008130.json,1965,
42771980138362.json,1965,
37683956067029.json,1965,
36750510138107.json,1965,
19647330126383.json,1965,
53765135330014.json,1965,
25735852530111.json,1965,
54755316053987.json,1965,
19651020110098.json,1965,
37684526110399.json,1965,
30666706071195.json,1965,
33670826032122.json,1965,
33752426114458.json,1965,
19647336057913.json,1965,
19647330122143.json,1965,
19647336111512.json,1965,
31669103130242.json,1965,
56726036055636.json,1965,
49708966052047.json,1965,
30666706058978.json,1965,
19645276013312.json,1965,
19643116011779.json,1965,
07617546004261.json,1965,
23655652331361.json,1965,
43696666119010.json,1965,
18641966010813.json,1965,
50755726053219.json,1965,
09100900106047.json,1965,
36676786035570.json,1965,
37735516037790.json,1965,
17640221730027.json,1965,
50712666113823.json,1965,
01611920133629.json,1965,
41690390140137.json,1965,
37683380126938.json,1965,
12626871230051.json,1965,
37679916101794.json,1965,
37683383732781.json,1965,
09619030930040.json,1965,
36678270137232.json,1965,
01613096002505.json,1965,
30736436030605.json,1965,
29102980126219.json,1965,
43694506047237.json,1965,
15633216009104.json,1965,
49709126052195.json,1965,
38684786041321.json,1965,
19647336016224.json,1965,
48705406115752.json,1965,
37683386117683.json,1965,
21654822132587.json,1965,
33669776031595.json,1965,
19647330117036.json,1965,
19647336017966.json,1965,
50710430108076.json,1965,
43697086049449.json,1965,
34673146120026.json,1965,
15636280138131.json,1965,
19647330135517.json,1965,
36678766037162.json,1965,
04614326105761.json,1965,
19647746020317.json,1965,
49707970123422.json,1965,
19647336017065.json,1965,
43696666048516.json,1965,
42691206046049.json,1965,
01611190130609.json,1965,
49706156051585.json,1965,
07616970737619.json,1965,
19646346057749.json,1965,
36676113630712.json,1965,
52714720134403.json,1965,
19647256015531.json,1965,
56725616055511.json,1965,
01612916002414.json,1965,
19651106023675.json,1965,
05615720141820.json,1965,
36676110129452.json,1965,
15638426110340.json,1965,
01612596118657.json,1960,
43693696046254.json,1965,
34673140135400.json,1965,
36678433634995.json,1965,
30736506098511.json,1965,
56725460120634.json,1965,
19647331931856.json,1965,
19647331933241.json,1965,
27660506026132.json,1965,
56726526056030.json,1965,
